region,country,isoCode,populationGrowth,urbanization,perCapitaGDP,lifeExpectancy,ladderScore
Central and Eastern Europe,Albania,ALB,0.26,62.1,9.417930603,68.70813751,4.882699966000001
Central and Eastern Europe,Bosnia and Herzegovina,BIH,-0.14,49.0,9.455817223,67.80813599,5.674099922000001
Central and Eastern Europe,Bulgaria,BGR,-0.6,75.7,9.869318962000001,66.80397797,5.101500034
Central and Eastern Europe,Croatia,HRV,-0.32,57.6,10.07087517,70.21490479,5.504700184
Central and Eastern Europe,Czech Republic,CZE,0.18,74.1,10.40416336,70.04793549,6.9109001160000005
Central and Eastern Europe,Estonia,EST,-0.04,69.2,10.34001732,68.60495758,6.0218000410000005
Central and Eastern Europe,Hungary,HUN,-0.28,71.9,10.24924374,67.60997009,6.000400066
Central and Eastern Europe,Latvia,LVA,-1.6,68.3,10.17531967,66.8074646,5.9499998089999995
Central and Eastern Europe,Lithuania,LTU,-1.48,68.0,10.34362602,67.29407501,6.215499877999999
Central and Eastern Europe,Montenegro,MNE,0.07,67.5,9.751860619,68.50534821,5.54610014
Central and Eastern Europe,Poland,POL,0.02,60.0,10.26512432,69.31113434,6.1862998010000005
Central and Eastern Europe,Romania,ROU,-0.27,56.4,10.107584,67.20723724,6.123700142000001
Central and Eastern Europe,Serbia,SRB,-0.48,56.4,9.680980682000001,68.21020508,5.77820015
Central and Eastern Europe,Slovakia,SVK,0.22,53.8,10.34774971,68.90634155,6.280600071
Central and Eastern Europe,Slovenia,SVN,0.26,55.1,10.39232254,71.1029892,6.363399982000001
Commonwealth of Independent States,Armenia,ARM,0.17,63.3,9.100476265,66.75065613,4.676799774
Commonwealth of Independent States,Azerbaijan,AZE,1.35,56.4,9.687726974,65.50839996,5.164800167
Commonwealth of Independent States,Belarus,BLR,-0.1,79.5,9.779945374,66.10433197,5.539899826
Commonwealth of Independent States,Georgia,GEO,0.63,59.5,9.226100922,64.49520874,4.672599792
Commonwealth of Independent States,Kazakhstan,KAZ,1.43,57.7,10.11465836,64.60996246,6.0578999520000005
Commonwealth of Independent States,Kyrgyzstan,KGZ,1.22,36.9,8.148405075,64.10601044,5.541500092000001
Commonwealth of Independent States,Moldova,MDA,-0.04,42.8,8.776714325,65.01301575,5.607500076
Commonwealth of Independent States,Russia,RUS,0.4,74.8,10.12887192,64.10045624,5.546000004
Commonwealth of Independent States,Tajikistan,TJK,2.45,27.5,8.024810791,64.10459137,5.555699825
Commonwealth of Independent States,Turkmenistan,TKM,1.29,52.5,9.74803257,62.21170807,5.119100093999999
Commonwealth of Independent States,Ukraine,UKR,-0.25,69.6,9.010690689,64.60678101,4.56069994
Commonwealth of Independent States,Uzbekistan,UZB,1.47,50.4,8.740371704,65.10757446,6.257599831
East Asia,China,CHN,0.49,61.4,9.688568115,69.2891922,5.123899937
East Asia,Japan,JPN,-0.2,91.8,10.57968903,75.00096893,5.870800018
East Asia,Mongolia,MNG,1.52,68.7,9.412186623,62.30448532,5.4562001229999995
East Asia,South Korea,KOR,0.45,81.4,10.51056671,73.60272979999999,5.872399807000001
Latin America and Caribbean,Argentina,ARG,0.88,92.1,9.810955048,68.80380249,5.974699974
Latin America and Caribbean,Bolivia,BOL,1.65,70.1,8.851115227000001,63.6004715,5.747499942999999
Latin America and Caribbean,Brazil,BRA,0.87,87.1,9.56643486,66.48016357,6.375599861
Latin America and Caribbean,Chile,CHL,0.9,87.7,10.0320549,69.90061951,6.228499889
Latin America and Caribbean,Colombia,COL,1.32,81.4,9.500369072,67.69958496,6.163400172999999
Latin America and Caribbean,Costa Rica,CRI,1.42,80.8,9.658156395,71.29985046,7.121399879
Latin America and Caribbean,Dominican Republic,DOM,1.26,82.5,9.664880753,65.80748749,5.6891999239999995
Latin America and Caribbean,Ecuador,ECU,1.6,64.2,9.246058463999999,68.50003815,5.925199986
Latin America and Caribbean,El Salvador,SLV,0.66,73.4,8.909075737,66.10826111,6.34829998
Latin America and Caribbean,Guatemala,GTM,2.53,51.8,8.924805641,64.8089447,6.398900032
Latin America and Caribbean,Haiti,HTI,1.39,57.1,7.411329268999999,55.59862518,3.720799923
Latin America and Caribbean,Honduras,HND,2.03,58.4,8.424534798,67.19876862,5.953199862999999
Latin America and Caribbean,Jamaica,JAM,0.21,56.3,9.006250381000001,67.09999847,5.889800072000001
Latin America and Caribbean,Mexico,MEX,1.24,80.7,9.797797203,68.29902649,6.465000152999999
Latin America and Caribbean,Nicaragua,NIC,1.46,59.0,8.493160247999999,67.50717926,6.13710022
Latin America and Caribbean,Panama,PAN,1.64,68.4,10.03423405,69.60301208,6.304800033999999
Latin America and Caribbean,Paraguay,PRY,1.72,62.2,9.389982224,65.63993835,5.6921000479999995
Latin America and Caribbean,Peru,PER,1.25,78.3,9.456313133,68.10023499,5.796800137000001
Latin America and Caribbean,Trinidad and Tobago,TTO,0.33,53.2,10.26000214,63.5,6.1918997760000005
Latin America and Caribbean,Uruguay,URY,0.35,95.5,9.948192596,69.00254822,6.440100192999999
Latin America and Caribbean,Venezuela,VEN,1.53,88.3,8.977793693999999,66.50534058,5.053199768
Middle East and North Africa,Algeria,DZA,1.89,73.7,9.537964821000001,65.90517426,5.005099773
Middle East and North Africa,Bahrain,BHR,1.92,89.5,10.67638016,68.5,6.227300167
Middle East and North Africa,Egypt,EGY,1.66,42.8,9.316541672,61.78015137,4.151400089
Middle East and North Africa,Iran,IRN,1.32,75.9,9.813719749,66.00614929,4.672399998
Middle East and North Africa,Iraq,IRQ,2.54,70.9,9.661095619,59.90354919,4.7848000530000006
Middle East and North Africa,Israel,ISR,1.81,92.6,10.41752529,73.20025635,7.128600121
Middle East and North Africa,Jordan,JOR,2.19,91.4,9.025999069,66.79975128,4.6333999630000005
Middle East and North Africa,Lebanon,LBN,0.96,88.9,9.3617239,67.10658264,4.771500111
Middle East and North Africa,Libya,LBY,0.84,80.7,9.789815903,62.29999924,5.488800049
Middle East and North Africa,Morocco,MAR,1.43,63.5,8.940313339,65.89624023,5.094799995
Middle East and North Africa,Saudi Arabia,SAU,1.88,84.3,10.79781246,66.30514526,6.406499863
Middle East and North Africa,Tunisia,TUN,0.97,69.6,9.314972877999999,66.89785767,4.392199993
Middle East and North Africa,Turkey,TUR,1.28,76.1,10.12941933,66.90281677,5.131800175
Middle East and North Africa,United Arab Emirates,ARE,3.1,87.0,11.1099987,67.08278656,6.790800095
Middle East and North Africa,Yemen,YEM,2.33,36.6,7.759682655,56.72728348,3.5274000169999997
North America and ANZ,Australia,AUS,1.6,86.2,10.72059631,73.60453796,7.222799778
North America and ANZ,Canada,CAN,1.14,81.6,10.69236851,73.60160065,7.23210001
North America and ANZ,New Zealand,NZL,0.63,86.7,10.50094318,73.20262909,7.2996001239999995
North America and ANZ,United States,USA,0.74,82.7,10.92576885,68.29949951,6.939599991000001
South Asia,Afghanistan,AFG,2.41,26.0,7.4628605839999995,52.59000015,2.566900015
South Asia,Bangladesh,BGD,1.19,38.2,8.287063599,64.50306702,4.832799911
South Asia,India,IND,1.26,34.9,8.849823952000001,60.21518707,3.573299885
South Asia,Maldives,MDV,1.93,40.7,9.518632889,70.59999847,5.197599888
South Asia,Nepal,NPL,1.16,20.6,7.925357342000001,63.77917862,5.137199879
